"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 27 14:48:46 UTC 2026","Mon Apr 27 14:48:47 UTC 2026","976","","tests.PracticeFormTest","","tests.PracticeFormTest","testDateOfBirth","testDateOfBirth()",""
"passed","Mon Apr 27 14:48:49 UTC 2026","Mon Apr 27 14:48:50 UTC 2026","564","","tests.PracticeFormTest","","tests.PracticeFormTest","testCurrentAddressInput","testCurrentAddressInput()",""
"passed","Mon Apr 27 14:48:53 UTC 2026","Mon Apr 27 14:48:53 UTC 2026","770","","tests.PracticeFormTest","","tests.PracticeFormTest","testGenderSelection","testGenderSelection()",""
"passed","Mon Apr 27 14:48:42 UTC 2026","Mon Apr 27 14:48:42 UTC 2026","585","","tests.PracticeFormTest","","tests.PracticeFormTest","testUploadPicture","testUploadPicture()",""
"passed","Mon Apr 27 14:48:50 UTC 2026","Mon Apr 27 14:48:50 UTC 2026","562","","tests.PracticeFormTest","","tests.PracticeFormTest","testEmailInput","testEmailInput()",""
"passed","Mon Apr 27 14:48:44 UTC 2026","Mon Apr 27 14:48:46 UTC 2026","2208","","tests.PracticeFormTest","","tests.PracticeFormTest","testSubjectsInput","testSubjectsInput()",""
"passed","Mon Apr 27 14:48:43 UTC 2026","Mon Apr 27 14:48:44 UTC 2026","588","","tests.PracticeFormTest","","tests.PracticeFormTest","testFirstAndLastNameInput","testFirstAndLastNameInput()",""
"passed","Mon Apr 27 14:48:42 UTC 2026","Mon Apr 27 14:48:43 UTC 2026","761","","tests.PracticeFormTest","","tests.PracticeFormTest","testHobbiesCheckboxSelection","testHobbiesCheckboxSelection()",""
"passed","Mon Apr 27 14:48:50 UTC 2026","Mon Apr 27 14:48:53 UTC 2026","2558","","tests.PracticeFormTest","","tests.PracticeFormTest","testFullFormSubmit","testFullFormSubmit()",""
"passed","Mon Apr 27 14:48:40 UTC 2026","Mon Apr 27 14:48:42 UTC 2026","1840","","tests.PracticeFormTest","","tests.PracticeFormTest","testMobileInput","testMobileInput()",""
"passed","Mon Apr 27 14:48:47 UTC 2026","Mon Apr 27 14:48:49 UTC 2026","2326","","tests.PracticeFormTest","","tests.PracticeFormTest","testStateAndCityDropdownSelection","testStateAndCityDropdownSelection()",""
